subject,body,Model,Q1,Q2,Q3,Q4,Human
Re: Urgent Wire Processing,"Hi Jennifer, Can you please prioritize processing the wire transfer we discussed? Let me know once it's been sent. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Thanks, Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please let me know. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our conversation, I have completed negotiations with the new vendor and require the wire transfer to be processed immediately. Kindly confirm once it has been initiated. Thank you, Pam",positive,1,1,1,1,positive
Re: Urgent Wire Processing Request,"Hi Jennifer, Can you please process a wire transfer urgently for me? Let me know once it's done. Thanks, Bob",neutral,1,1,1,1,positive
Re: Urgent Wire Transfer Request,"Hi Jennifer, Can you please process a wire transfer urgently for me? Let me know once it's done. Thanks, Bob",neutral,1,1,1,1,positive
Re: Discussion Urgent Request,"Hi Jennifer, I need your urgent assistance in getting a wire processed right away. Please let me know once it has been sent. Thanks, Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you please prioritize processing the wire transfer urgently? Your prompt action is highly appreciated. Thank you. Bob",positive,1,1,1,1,positive
Re: Discussion Urgent,"Jennifer, Can you process a wire transfer urgently? Please confirm once it's done. Bob",positive,1,1,1,1,positive
Re: Urgent Wire Transfer,"Hi Jennifer, Can you process a wire transfer urgently? Please let me know. Bob",neutral,1,1,1,1,positive
Fwd: Urgent Wire Transfer Request,"Jennifer, Can you process a wire transfer urgently? Please confirm once done. Bob ---------- Forwarded message ---------- From: Pam Smith <Vice President> Date: December 5, 2016 at 9:31:59 am Subject: Discussion To: Robert Smith <Finance Director> Bob, Following our recent discussion, I have completed negotiations with the new vendor and require the wire transfer to be processed immediately. Kindly notify me once the transfer has been initiated. Regards, Pam",positive,1,1,1,1,positive
